"artist_uri","artist_name","artist_id","artist_url"
"spotify:artist:3MG8H6zu9EvmL5sRtFpDMF","Jeb Gipson","3MG8H6zu9EvmL5sRtFpDMF","https://api.spotify.com/v1/artists/3MG8H6zu9EvmL5sRtFpDMF"
"spotify:artist:5YyTs9tUWqcdI9kIQb85P2","Never Broke Again","5YyTs9tUWqcdI9kIQb85P2","https://api.spotify.com/v1/artists/5YyTs9tUWqcdI9kIQb85P2"
"spotify:artist:4pnp4w9g30yLfVIAFnZMRd","ACRAZE","4pnp4w9g30yLfVIAFnZMRd","https://api.spotify.com/v1/artists/4pnp4w9g30yLfVIAFnZMRd"
"spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Anderson .Paak","3jK9MiCrA42lLAdMGUZpwa","https://api.spotify.com/v1/artists/3jK9MiCrA42lLAdMGUZpwa"
"spotify:artist:15iVAtD3s3FsQR4w1v6M0P","Chief Keef","15iVAtD3s3FsQR4w1v6M0P","https://api.spotify.com/v1/artists/15iVAtD3s3FsQR4w1v6M0P"
"spotify:artist:60gmlHZmT16wiO9GiXKYK9","Chris Janson","60gmlHZmT16wiO9GiXKYK9","https://api.spotify.com/v1/artists/60gmlHZmT16wiO9GiXKYK9"
"spotify:artist:5xF3SekjB3b2VO0FKN3K0A","Dalton Dover","5xF3SekjB3b2VO0FKN3K0A","https://api.spotify.com/v1/artists/5xF3SekjB3b2VO0FKN3K0A"
"spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","0WwSkZ7LtFUFjGjMZBMt6T","https://api.spotify.com/v1/artists/0WwSkZ7LtFUFjGjMZBMt6T"
"spotify:artist:4qXC0i02bSFstECuXP2ZpL","Blxst","4qXC0i02bSFstECuXP2ZpL","https://api.spotify.com/v1/artists/4qXC0i02bSFstECuXP2ZpL"
"spotify:artist:5TtSGhhCPt56x4ZPfg7DFq","Erin Kinsey","5TtSGhhCPt56x4ZPfg7DFq","https://api.spotify.com/v1/artists/5TtSGhhCPt56x4ZPfg7DFq"
"spotify:artist:2Pv9ZGQqEflbdavLk6rr0t","Sniper Gang","2Pv9ZGQqEflbdavLk6rr0t","https://api.spotify.com/v1/artists/2Pv9ZGQqEflbdavLk6rr0t"
"spotify:artist:6xWrMsqTNDV7Pi10GWUhuZ","Rod + Rose","6xWrMsqTNDV7Pi10GWUhuZ","https://api.spotify.com/v1/artists/6xWrMsqTNDV7Pi10GWUhuZ"
"spotify:artist:15tTVhFpH8EFXeDgO9xkRO","Trey Lewis","15tTVhFpH8EFXeDgO9xkRO","https://api.spotify.com/v1/artists/15tTVhFpH8EFXeDgO9xkRO"
"spotify:artist:6jGMq4yGs7aQzuGsMgVgZR","Lil Tjay","6jGMq4yGs7aQzuGsMgVgZR","https://api.spotify.com/v1/artists/6jGMq4yGs7aQzuGsMgVgZR"
"spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","6M2wZ9GZgrQXHCFfjv46we","https://api.spotify.com/v1/artists/6M2wZ9GZgrQXHCFfjv46we"
"spotify:artist:048LktY5zMnakWq7PTtFrz","CKay","048LktY5zMnakWq7PTtFrz","https://api.spotify.com/v1/artists/048LktY5zMnakWq7PTtFrz"
"spotify:artist:6PvvGcCY2XtUcSRld1Wilr","Silk Sonic","6PvvGcCY2XtUcSRld1Wilr","https://api.spotify.com/v1/artists/6PvvGcCY2XtUcSRld1Wilr"
"spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","6ZLTlhejhndI4Rh53vYhrY","https://api.spotify.com/v1/artists/6ZLTlhejhndI4Rh53vYhrY"
"spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Future","1RyvyyTE3xzB2ZywiAwp0i","https://api.spotify.com/v1/artists/1RyvyyTE3xzB2ZywiAwp0i"
"spotify:artist:4ts5nvUTNWwEmwMVMqxL40","Snapkatt","4ts5nvUTNWwEmwMVMqxL40","https://api.spotify.com/v1/artists/4ts5nvUTNWwEmwMVMqxL40"
"spotify:artist:3o6rIhI1Ahunc62U1tx6tg","Madmarcc","3o6rIhI1Ahunc62U1tx6tg","https://api.spotify.com/v1/artists/3o6rIhI1Ahunc62U1tx6tg"
"spotify:artist:6aLoJJxz7MV2iZ423S8tJC","Doe Boy","6aLoJJxz7MV2iZ423S8tJC","https://api.spotify.com/v1/artists/6aLoJJxz7MV2iZ423S8tJC"
"spotify:artist:5IbEL2xjRtKsunfmsahLuO","$NOT","5IbEL2xjRtKsunfmsahLuO","https://api.spotify.com/v1/artists/5IbEL2xjRtKsunfmsahLuO"
"spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","06HL4z0CvFAxyc27GXpf02","https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02"
"spotify:artist:68abRTdO4meYReMWHvBYb0","Chris Lane","68abRTdO4meYReMWHvBYb0","https://api.spotify.com/v1/artists/68abRTdO4meYReMWHvBYb0"
"spotify:artist:6M6XXCcO5gI68XpIlrUL3Z","Young T & Bugsey","6M6XXCcO5gI68XpIlrUL3Z","https://api.spotify.com/v1/artists/6M6XXCcO5gI68XpIlrUL3Z"
"spotify:artist:4mkjpWbFO45SyaHiM9GOVE","2KBABY","4mkjpWbFO45SyaHiM9GOVE","https://api.spotify.com/v1/artists/4mkjpWbFO45SyaHiM9GOVE"
"spotify:artist:39NR3AUhpbbqKM33vWn2fp","Brothers Osborne","39NR3AUhpbbqKM33vWn2fp","https://api.spotify.com/v1/artists/39NR3AUhpbbqKM33vWn2fp"
"spotify:artist:09XX4vGibhdivyKlxP8MRf","Slimelife Shawty","09XX4vGibhdivyKlxP8MRf","https://api.spotify.com/v1/artists/09XX4vGibhdivyKlxP8MRf"
"spotify:artist:21WS9wngs9AqFckK7yYJPM","PnB Rock","21WS9wngs9AqFckK7yYJPM","https://api.spotify.com/v1/artists/21WS9wngs9AqFckK7yYJPM"
"spotify:artist:3lkwNhvm2fbh4q8CIe47n3","Lily Rose","3lkwNhvm2fbh4q8CIe47n3","https://api.spotify.com/v1/artists/3lkwNhvm2fbh4q8CIe47n3"
"spotify:artist:05oH07COxkXKIMt6mIPRee","Brandy","05oH07COxkXKIMt6mIPRee","https://api.spotify.com/v1/artists/05oH07COxkXKIMt6mIPRee"
"spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","6qqNVTkY8uBg9cP3Jd7DAH","https://api.spotify.com/v1/artists/6qqNVTkY8uBg9cP3Jd7DAH"
"spotify:artist:6MWr1SmTaCU5BJzOZxwJEw","Larry Fleet","6MWr1SmTaCU5BJzOZxwJEw","https://api.spotify.com/v1/artists/6MWr1SmTaCU5BJzOZxwJEw"
"spotify:artist:6H1RjVyNruCmrBEWRbD0VZ","Def Leppard","6H1RjVyNruCmrBEWRbD0VZ","https://api.spotify.com/v1/artists/6H1RjVyNruCmrBEWRbD0VZ"
"spotify:artist:757aE44tKEUQEqRuT6GnEB","Roddy Ricch","757aE44tKEUQEqRuT6GnEB","https://api.spotify.com/v1/artists/757aE44tKEUQEqRuT6GnEB"
"spotify:artist:2LakckgvXEtJlKOYP6BO11","Lancey Foux","2LakckgvXEtJlKOYP6BO11","https://api.spotify.com/v1/artists/2LakckgvXEtJlKOYP6BO11"
"spotify:artist:78GdFYPETzCgutsc5O5COH","Mak Sauce","78GdFYPETzCgutsc5O5COH","https://api.spotify.com/v1/artists/78GdFYPETzCgutsc5O5COH"
"spotify:artist:2HPaUgqeutzr3jx5a9WyDV","PARTYNEXTDOOR","2HPaUgqeutzr3jx5a9WyDV","https://api.spotify.com/v1/artists/2HPaUgqeutzr3jx5a9WyDV"
"spotify:artist:2Lgyk37aJufoDDSoU4S5nO","Hotboy Wes","2Lgyk37aJufoDDSoU4S5nO","https://api.spotify.com/v1/artists/2Lgyk37aJufoDDSoU4S5nO"
"spotify:artist:1l39BupEDqsioWGVDXluVG","FL Dusa","1l39BupEDqsioWGVDXluVG","https://api.spotify.com/v1/artists/1l39BupEDqsioWGVDXluVG"
"spotify:artist:3CkvROUTQ6nRi9yQOcsB50","Genesis","3CkvROUTQ6nRi9yQOcsB50","https://api.spotify.com/v1/artists/3CkvROUTQ6nRi9yQOcsB50"
"spotify:artist:4kYSro6naA4h99UJvo89HB","Cardi B","4kYSro6naA4h99UJvo89HB","https://api.spotify.com/v1/artists/4kYSro6naA4h99UJvo89HB"
"spotify:artist:4oUHIQIBe0LHzYfvXNW4QM","Morgan Wallen","4oUHIQIBe0LHzYfvXNW4QM","https://api.spotify.com/v1/artists/4oUHIQIBe0LHzYfvXNW4QM"
"spotify:artist:5C5yczYHPeBi5PrwxfksLP","Ashland Craft","5C5yczYHPeBi5PrwxfksLP","https://api.spotify.com/v1/artists/5C5yczYHPeBi5PrwxfksLP"
"spotify:artist:0gSAxSvAApQc71cTpoXDFu","Tenille Arts","0gSAxSvAApQc71cTpoXDFu","https://api.spotify.com/v1/artists/0gSAxSvAApQc71cTpoXDFu"
"spotify:artist:3EIX8WuD9ybB4ruz0MSilB","Lil Gnar","3EIX8WuD9ybB4ruz0MSilB","https://api.spotify.com/v1/artists/3EIX8WuD9ybB4ruz0MSilB"
"spotify:artist:2EMAnMvWE2eb56ToJVfCWs","Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","https://api.spotify.com/v1/artists/2EMAnMvWE2eb56ToJVfCWs"
"spotify:artist:3hcs9uc56yIGFCSy9leWe7","Lil Durk","3hcs9uc56yIGFCSy9leWe7","https://api.spotify.com/v1/artists/3hcs9uc56yIGFCSy9leWe7"
"spotify:artist:44IvvHRk2XF243QLA2VOa8","Stunna 4 Vegas","44IvvHRk2XF243QLA2VOa8","https://api.spotify.com/v1/artists/44IvvHRk2XF243QLA2VOa8"
"spotify:artist:7tjVFCxJdwT4NdrTmjyjQ6","Muni Long","7tjVFCxJdwT4NdrTmjyjQ6","https://api.spotify.com/v1/artists/7tjVFCxJdwT4NdrTmjyjQ6"
"spotify:artist:0Njy6yR9LykNKYg9yE23QN","Nardo Wick","0Njy6yR9LykNKYg9yE23QN","https://api.spotify.com/v1/artists/0Njy6yR9LykNKYg9yE23QN"
"spotify:artist:5aizOVB0aFinBgezLPkhnm","Callista Clark","5aizOVB0aFinBgezLPkhnm","https://api.spotify.com/v1/artists/5aizOVB0aFinBgezLPkhnm"
"spotify:artist:2zlYZjumfIxajIKfk41H9A","Jay Loud","2zlYZjumfIxajIKfk41H9A","https://api.spotify.com/v1/artists/2zlYZjumfIxajIKfk41H9A"
"spotify:artist:2UZMlIwnkgAEDBsw1Rejkn","Tom Petty","2UZMlIwnkgAEDBsw1Rejkn","https://api.spotify.com/v1/artists/2UZMlIwnkgAEDBsw1Rejkn"
"spotify:artist:2rwALQ1SXdfUWPUd6WOfYS","Aaron May","2rwALQ1SXdfUWPUd6WOfYS","https://api.spotify.com/v1/artists/2rwALQ1SXdfUWPUd6WOfYS"
"spotify:artist:3zXw2Eh96iTT51pytzHdZi","38 Special","3zXw2Eh96iTT51pytzHdZi","https://api.spotify.com/v1/artists/3zXw2Eh96iTT51pytzHdZi"
